Voltage,constant Z Load,constant Z Load - real power P,constant I Load,constant I Load - real power P,constant P Load,constant P Load - real power P
0.8,(0.9090909090909091-0.0909090909090909j),(1280.0000000000002+0j),(1.1363636363636362-0.1136363636363636j),(1600+0j),(1.4204545454545452-0.14204545454545453j),(2000+0j)
0.8007007007007008,(0.9090909090909091-0.0909090909090909j),(1282.2432242051864+0j),(1.135369193876507-0.1135369193876507j),(1601.4014014014015+0j),(1.4179695270441686-0.14179695270441686j),(2000+0j)
0.8014014014014015,(0.9090909090909091-0.0909090909090909j),(1284.4884123362606+0j),(1.134376490359503-0.1134376490359503j),(1602.802802802803+0j),(1.4154910240683776-0.14154910240683777j),(2000+0j)
0.8021021021021022,(0.9090909090909091-0.09090909090909088j),(1286.7355643932224+0j),(1.1333855212552328-0.11333855212552325j),(1604.2042042042044+0j),(1.4130190137700955-0.14130190137700957j),(2000+0j)
0.8028028028028028,(0.9090909090909092-0.09090909090909094j),(1288.9846803760718+0j),(1.1323962820222173-0.11323962820222172j),(1605.6056056056057+0j),(1.4105534734915148-0.1410553473491515j),(2000+0j)
0.8035035035035035,(0.9090909090909091-0.09090909090909091j),(1291.2357602848094+0j),(1.131408768134818-0.11314087681348178j),(1607.0070070070071+0j),(1.4080943806735802-0.14080943806735802j),(2000+0j)
0.8042042042042042,(0.9090909090909091-0.09090909090909091j),(1293.4888041194347+0j),(1.1304229750831691-0.11304229750831692j),(1608.4084084084084+0j),(1.4056417128554717-0.14056417128554718j),(2000+0j)
0.804904904904905,(0.9090909090909091-0.09090909090909091j),(1295.7438118799482+0j),(1.1294388983731105-0.11294388983731106j),(1609.8098098098098+0j),(1.4031954476740918-0.14031954476740918j),(2000+0j)
0.8056056056056057,(0.9090909090909091-0.09090909090909091j),(1298.0007835663494+0j),(1.128456533526116-0.11284565335261162j),(1611.2112112112113+0j),(1.4007555628635555-0.14007555628635557j),(2000+0j)
0.8063063063063064,(0.9090909090909092-0.09090909090909091j),(1300.2597191786385+0j),(1.1274758760792276-0.11274758760792274j),(1612.6126126126128+0j),(1.3983220362546847-0.1398322036254685j),(2000+0j)
0.807007007007007,(0.9090909090909091-0.09090909090909088j),(1302.520618716815+0j),(1.1264969215849892-0.11264969215849892j),(1614.014014014014+0j),(1.3958948457745024-0.13958948457745024j),(2000+0j)
0.8077077077077077,(0.9090909090909092-0.09090909090909094j),(1304.7834821808797+0j),(1.1255196656113748-0.11255196656113749j),(1615.4154154154155+0j),(1.3934739694457345-0.13934739694457346j),(2000+0j)
0.8084084084084084,(0.9090909090909091-0.09090909090909088j),(1307.0483095708323+0j),(1.1245441037417263-0.11245441037417263j),(1616.816816816817+0j),(1.3910593853863105-0.13910593853863104j),(2000+0j)
0.8091091091091092,(0.9090909090909091-0.09090909090909093j),(1309.3151008866726+0j),(1.1235702315746854-0.11235702315746857j),(1618.2182182182182+0j),(1.3886510718088712-0.13886510718088713j),(2000+0j)
0.8098098098098099,(0.9090909090909092-0.09090909090909093j),(1311.5838561284008+0j),(1.1225980447241262-0.11225980447241261j),(1619.6196196196197+0j),(1.3862490070202744-0.13862490070202743j),(2000+0j)
0.8105105105105106,(0.9090909090909091-0.0909090909090909j),(1313.8545752960172+0j),(1.121627538819091-0.11216275388190909j),(1621.0210210210212+0j),(1.3838531694211087-0.13838531694211087j),(2000+0j)
0.8112112112112112,(0.9090909090909092-0.09090909090909093j),(1316.1272583895206+0j),(1.1206587095037241-0.11206587095037243j),(1622.4224224224224+0j),(1.3814635375052078-0.13814635375052078j),(2000+0j)
0.8119119119119119,(0.9090909090909092-0.09090909090909094j),(1318.4019054089124+0j),(1.1196915524372066-0.11196915524372066j),(1623.823823823824+0j),(1.3790800898591657-0.13790800898591657j),(2000+0j)
0.8126126126126126,(0.9090909090909092-0.0909090909090909j),(1320.6785163541922+0j),(1.118726063293691-0.11187260632936911j),(1625.2252252252254+0j),(1.3767028051618588-0.13767028051618588j),(2000+0j)
0.8133133133133134,(0.9090909090909091-0.0909090909090909j),(1322.9570912253596+0j),(1.1177622377622376-0.11177622377622376j),(1626.6266266266266+0j),(1.3743316621839696-0.13743316621839696j),(2000+0j)
0.8140140140140141,(0.9090909090909092-0.09090909090909091j),(1325.2376300224148+0j),(1.1168000715467512-0.11168000715467515j),(1628.028028028028+0j),(1.3719666397875117-0.1371966639787512j),(2000+0j)
0.8147147147147148,(0.9090909090909091-0.09090909090909091j),(1327.5201327453583+0j),(1.1158395603659146-0.11158395603659148j),(1629.4294294294295+0j),(1.3696077169253578-0.1369607716925358j),(2000+0j)
0.8154154154154155,(0.9090909090909092-0.09090909090909094j),(1329.8045993941894+0j),(1.1148806999531278-0.1114880699953128j),(1630.830830830831+0j),(1.367254872640774-0.13672548726407743j),(2000+0j)
0.8161161161161161,(0.9090909090909091-0.09090909090909093j),(1332.0910299689078+0j),(1.113923486056443-0.1113923486056443j),(1632.2322322322323+0j),(1.364908086066953-0.13649080860669527j),(2000+0j)
0.8168168168168168,(0.9090909090909092-0.09090909090909093j),(1334.3794244695146+0j),(1.1129679144385025-0.11129679144385024j),(1633.6336336336337+0j),(1.362567336426549-0.13625673364265492j),(2000+0j)
0.8175175175175176,(0.9090909090909092-0.09090909090909093j),(1336.6697828960093+0j),(1.1120139808764762-0.1112013980876476j),(1635.0350350350352+0j),(1.3602326030312226-0.13602326030312226j),(2000+0j)
0.8182182182182183,(0.9090909090909091-0.09090909090909091j),(1338.9621052483917+0j),(1.111061681161999-0.11110616811619996j),(1636.4364364364365+0j),(1.3579038652811808-0.13579038652811812j),(2000+0j)
0.818918918918919,(0.9090909090909091-0.09090909090909088j),(1341.256391526662+0j),(1.1101110111011099-0.11101110111011099j),(1637.837837837838+0j),(1.3555811026647215-0.13555811026647216j),(2000+0j)
