b:totDemand;m:u;b:uGradient
125000000;0.995631;0
125625000;0.995321;-0.000496
126875000;0.994697;-0.000499
129375000;0.993444;-0.000501
131875000;0.99218;-0.000505
134375000;0.990907;-0.00051
136875000;0.989622;-0.000514
139375000;0.988327;-0.000518
141875000;0.987022;-0.000522
144375000;0.985706;-0.000527
146875000;0.984378;-0.000531
149374999;0.98304;-0.000535
151874999;0.98169;-0.00054
154374999;0.980329;-0.000544
156874999;0.978957;-0.000549
159374999;0.977573;-0.000554
161874999;0.976177;-0.000558
164374999;0.974769;-0.000563
166874999;0.973349;-0.000568
169374999;0.971917;-0.000573
171874999;0.970472;-0.000578
174374999;0.969014;-0.000583
176874999;0.967544;-0.000588
179374999;0.96606;-0.000593
181874999;0.964563;-0.000599
184374999;0.963053;-0.000604
186874999;0.961529;-0.00061
189374999;0.959992;-0.000615
191874999;0.95844;-0.000621
194374998;0.956874;-0.000626
196874998;0.955293;-0.000632
199374998;0.953698;-0.000638
201874998;0.952088;-0.000644
204374998;0.950462;-0.00065
206874998;0.948821;-0.000656
209374998;0.947164;-0.000663
211874998;0.945491;-0.000669
214374998;0.943801;-0.000676
216874998;0.942095;-0.000682
219374998;0.940372;-0.000689
221874998;0.938632;-0.000696
224374998;0.936874;-0.000703
226874998;0.935097;-0.00071
229374998;0.933303;-0.000718
231874998;0.93149;-0.000725
234374998;0.929658;-0.000733
236874997;0.927806;-0.000741
239374997;0.925935;-0.000749
241874997;0.924043;-0.000757
244374997;0.92213;-0.000765
246874997;0.920197;-0.000773
249374997;0.918241;-0.000782
251874997;0.916264;-0.000791
254374997;0.914263;-0.0008
256874997;0.91224;-0.000809
259374997;0.910193;-0.000819
261874997;0.908121;-0.000829
264374997;0.906024;-0.000839
266874997;0.903902;-0.000849
269374997;0.901753;-0.000859
271874997;0.899578;-0.00087
274374997;0.897374;-0.000881
276874997;0.895143;-0.000893
279374997;0.892882;-0.000904
281874996;0.89059;-0.000916
284374996;0.888268;-0.000929
286874996;0.885914;-0.000942
289374996;0.883527;-0.000955
291874996;0.881106;-0.000968
294374996;0.87865;-0.000982
296874996;0.876157;-0.000997
299374996;0.873627;-0.001012
301874996;0.871059;-0.001027
304374996;0.86845;-0.001043
306874996;0.8658;-0.00106
309374996;0.863107;-0.001077
311874996;0.860369;-0.001095
314374996;0.857584;-0.001114
316874996;0.854751;-0.001133
319374996;0.851868;-0.001153
321874996;0.848932;-0.001174
324374996;0.845941;-0.001196
326874995;0.842893;-0.001219
329374995;0.839785;-0.001243
331874995;0.836613;-0.001269
334374995;0.833376;-0.001295
336874995;0.830068;-0.001323
339374995;0.826688;-0.001352
341874995;0.823229;-0.001383
344374995;0.819689;-0.001416
346874995;0.816061;-0.001451
349374995;0.812341;-0.001488
351874995;0.808521;-0.001528
354374995;0.804596;-0.00157
356874995;0.800558;-0.001615
359374995;0.796397;-0.001664
361874995;0.792104;-0.001717
364374995;0.787667;-0.001775
366874995;0.783074;-0.001837
369374995;0.778309;-0.001906
371874994;0.773355;-0.001982
374374994;0.768189;-0.002066
376874994;0.762786;-0.002161
379374994;0.757116;-0.002268
381874994;0.751139;-0.002391
384374994;0.744806;-0.002533
386874994;0.738053;-0.002701
389374994;0.730795;-0.002903
391874994;0.722911;-0.003154
394374994;0.714224;-0.003475
396874994;0.704456;-0.003907
399374994;0.693107;-0.00454
400624994;0.686558;-0.005239
401874994;0.679132;-0.005941
403124994;0.670368;-0.007012
403749994;0.665202;-0.008265
404374994;0.659184;-0.00963
404999994;0.651683;-0.012001
405312494;0.646883;-0.015361
405624994;0.640432;-0.020643
405781244;0.635554;-0.031214
405859369;0.631482;-0.052127
405878900;0.629692;-0.091674
